ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes
2024;zootecnia;Universidade Estadual de Montes Claros;MG;45;Estadual;;;26;31.52;;;18;6.57;;;1;8;;;53;3.62;23;13.33
2024;zootecnia;Centro Universitário Católica do Tocantins;TO;46;Privada;14;25.6;92;3.7;;;91;0.42;;;88;0.67;;;65;2.61;;
2024;zootecnia;Universidade Federal do Maranhão;MA;47;Federal;;;28;28.74;;;72;2.02;;;1;8;;;32;5.39;23;13.33
2024;zootecnia;Universidade Estadual do Piauí;PI;48;Estadual;;;29;28.32;;;34;5.22;;;1;8;;;75;1.77;23;13.33
2024;zootecnia;Universidade Estadual do Sudoeste da Bahia;BA;49;Estadual;;;30;25.63;;;80;1.35;;;1;8;;;61;2.95;23;13.33
2024;zootecnia;Universidade do Oeste de Santa Catarina;SC;50;Privada;;;32;23.28;;;21;6.32;;;78;1.52;;;71;2.11;23;13.33
2024;zootecnia;Universidade Estadual do Norte Fluminense Darcy Ribeiro;RJ;51;Estadual;;;33;22.65;;;17;6.65;;;1;8;;;1;8;;
2024;zootecnia;Universidade Estadual de Ponta Grossa;PR;52;Estadual;42;3.2;41;19.03;;;4;7.75;;;1;8;;;57;3.28;;
2024;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia Goiano;GO;53;Federal;;;35;20.49;;;75;1.77;;;74;1.85;;;54;3.54;23;13.33
2024;zootecnia;Fundação Universidade Federal do Vale do São Francisco;PE;54;Federal;;;36;19.79;;;44;4.38;;;1;8;;;8;7.41;;
2024;zootecnia;Fundação Universidade Federal de Rondônia;RO;55;Federal;;;42;18.86;;;24;6.06;;;1;8;;;39;4.8;;
2024;zootecnia;Universidade Federal dos Vales do Jequitinhonha e Mucuri;MG;56;Federal;;;43;18.78;;;43;4.46;;;1;8;;;21;6.32;;
2024;zootecnia;Universidade Federal do Agreste de Pernambuco;PE;57;Federal;;;44;18.53;;;49;3.96;;;1;8;;;18;6.57;;
2024;zootecnia;Fundação Universidade Federal do Pampa;RS;58;Federal;;;46;17.43;;;63;2.78;;;1;8;;;17;6.65;;
2024;zootecnia;Universidade Federal Rural da Amazônia;PA;59;Federal;;;49;16.76;;;52;3.71;;;1;8;;;36;5.05;;
2024;zootecnia;Universidade Federal de Roraima;RR;59;Federal;;;50;16.76;;;22;6.23;;;1;8;;;66;2.53;;
